frame_id,left_detected,right_detected,left_conf,right_conf
343,1,1,0.40,0.53
344,1,1,0.52,0.51
345,0,1,0.34,0.45
346,1,1,0.41,0.47
347,1,1,0.41,0.48
348,0,1,0.24,0.46
349,1,1,0.40,0.49
350,1,1,0.38,0.55
351,0,1,0.32,0.51
352,0,1,0.34,0.47
353,1,1,0.35,0.54
354,1,1,0.44,0.47
355,1,1,0.39,0.48
356,1,1,0.44,0.57
357,1,1,0.43,0.51
358,1,1,0.45,0.48
359,1,1,0.45,0.51
360,1,1,0.43,0.60
361,1,1,0.43,0.41
362,1,1,0.36,0.57
363,1,1,0.37,0.42
364,1,1,0.41,0.47
365,1,1,0.39,0.43
366,1,1,0.38,0.52
367,1,1,0.44,0.50
368,1,1,0.54,0.42
369,1,1,0.50,0.41
370,1,1,0.52,0.50
371,1,1,0.55,0.52
372,1,1,0.39,0.48
373,1,1,0.48,0.51
374,1,1,0.43,0.52
375,0,1,0.27,0.50
376,1,1,0.45,0.39
377,1,1,0.37,0.44
378,0,1,0.33,0.46
379,1,1,0.37,0.47
380,1,1,0.43,0.49
381,1,1,0.42,0.49
382,1,1,0.44,0.51
383,1,1,0.43,0.46
384,1,1,0.42,0.55
385,1,1,0.41,0.49
386,1,1,0.42,0.48
387,1,1,0.42,0.53
388,1,1,0.44,0.43
389,1,1,0.45,0.47
390,1,1,0.42,0.49
391,1,1,0.37,0.46
392,1,1,0.44,0.36
393,1,1,0.38,0.38
394,1,1,0.56,0.42
395,1,1,0.55,0.38
396,1,1,0.51,0.47
397,1,0,0.48,0.34
398,1,1,0.48,0.38
399,1,1,0.46,0.41
400,1,1,0.55,0.40
401,1,1,0.52,0.41
402,1,1,0.57,0.44
403,1,1,0.46,0.41
404,1,1,0.44,0.36
405,1,1,0.48,0.37
406,1,0,0.47,0.33
407,1,0,0.47,0.34
408,1,0,0.48,0.32
409,1,1,0.47,0.36
410,1,1,0.51,0.37
411,1,1,0.51,0.38
412,1,1,0.59,0.35
413,1,0,0.51,0.33
414,1,0,0.47,0.32
415,1,0,0.49,0.32
416,1,0,0.37,0.32
417,1,0,0.49,0.32
418,0,0,0.28,0.34
419,0,0,0.27,0.31
420,0,0,0.26,0.32
421,1,0,0.42,0.31
422,1,0,0.36,0.31
423,1,0,0.36,0.32
424,1,0,0.35,0.32
425,1,0,0.36,0.32
426,1,0,0.42,0.34
427,1,0,0.36,0.32
428,1,0,0.41,0.10
429,1,0,0.41,0.10
430,1,0,0.35,0.10
431,1,0,0.48,0.10
432,1,0,0.43,0.10
433,1,0,0.47,0.10
434,1,0,0.49,0.10
435,1,0,0.52,0.10
436,1,0,0.53,0.10
437,1,0,0.37,0.10
438,0,0,0.32,0.10
439,1,0,0.44,0.10
440,0,0,0.35,0.10
441,1,0,0.42,0.10
442,1,0,0.37,0.10
443,1,0,0.44,0.10
444,1,0,0.40,0.10
445,1,0,0.45,0.10
446,1,0,0.40,0.10
447,1,0,0.39,0.10
448,0,0,0.30,0.10
449,1,0,0.36,0.10
